snapped_at,price,market_cap,total_volume
2023-05-15 00:00:00 UTC,1859.7494798784967,0.0,4090.378532575571
2023-05-16 00:00:00 UTC,1859.7494798784967,0.0,4090.378532575571
2023-05-17 00:00:00 UTC,1861.396200585046,0.0,655.5015867837308
2023-05-18 00:00:00 UTC,1856.5947110989011,0.0,2917.9648106320697
2023-05-19 00:00:00 UTC,1842.9439751636614,0.0,17414.42646043487
2023-05-20 00:00:00 UTC,1849.1491070475142,0.0,6736.689324647377
2023-05-21 00:00:00 UTC,1855.7143733087562,0.0,3753.33674555839
2023-05-22 00:00:00 UTC,1841.9271416458892,0.0,1748.2230708374605
2023-05-23 00:00:00 UTC,1859.4105634936598,0.0,10418.195947885326
2023-05-24 00:00:00 UTC,1896.0813085259715,0.0,22138.21130046367
2023-05-25 00:00:00 UTC,1843.6120364578692,31671898.884219494,395733.3026246957
2023-05-26 00:00:00 UTC,1845.6944834203098,32108244.848161966,346845.19472684484
2023-05-27 00:00:00 UTC,1868.0016824077336,32791669.984509096,55090.07320585376
2023-05-28 00:00:00 UTC,1873.4103171766283,33076717.766937923,430209.95969212236
2023-05-29 00:00:00 UTC,1954.3538966289946,34660018.99740533,121311.08505628801
2023-05-30 00:00:00 UTC,1934.4850411857615,34527210.36723756,133765.31989048296
2023-05-31 00:00:00 UTC,1944.453059254716,34830654.01991485,51773.22104978327
2023-06-01 00:00:00 UTC,1913.8938326820114,34698707.38243472,62908.72085078536
2023-06-02 00:00:00 UTC,1901.456021440109,35345528.30629499,87416.72131764647
2023-06-03 00:00:00 UTC,1950.0014689743255,36804787.96351992,153705.6055626309
2023-06-04 00:00:00 UTC,1932.6451991828737,36720596.450148806,32487.703446700907
2023-06-05 00:00:00 UTC,1935.7164112710611,36883824.7974095,27557.114718661327
2023-06-06 00:00:00 UTC,1851.0733029605701,35693125.60074669,39221.28115776573
2023-06-07 00:00:00 UTC,1928.9074736027017,37297039.2550637,3994052.9728001617
2023-06-08 00:00:00 UTC,1878.1652770315168,36512659.32060152,303137.9417356211
2023-06-09 00:00:00 UTC,1892.566362212491,37911859.43539592,423593.45415641833
2023-06-10 00:00:00 UTC,1883.7823261493675,38649473.98327104,157978.44626666576
2023-06-11 00:00:00 UTC,1795.724398077506,37423270.643763974,37396.018859554606
2023-06-12 00:00:00 UTC,1797.145268518736,37947580.74050024,211041.52942677433
2023-06-13 00:00:00 UTC,1786.3254841617002,38259566.466230564,576073.7402331874
2023-06-14 00:00:00 UTC,1779.9785034551974,38679356.394666836,410757.5594537396
2023-06-15 00:00:00 UTC,1691.9396863152979,37956809.75818119,1174730.3645915173
2023-06-16 00:00:00 UTC,1706.7824518724103,40148531.83652118,3715283.991105066
2023-06-17 00:00:00 UTC,1758.1117691909537,43609783.836725794,1437121.5500313474
2023-06-18 00:00:00 UTC,1768.3019465204222,44139225.855275534,36467.93929322211
2023-06-19 00:00:00 UTC,1761.5017454354604,44471071.74522217,171890.11778083546
2023-06-20 00:00:00 UTC,1776.9754199089405,45738186.55064173,80587.40395950509
2023-06-21 00:00:00 UTC,1835.086294816391,47504351.778199084,383013.69037267537
2023-06-22 00:00:00 UTC,1938.7697750104712,51748269.131511256,1410024.4619360375
2023-06-23 00:00:00 UTC,1920.2931885266748,51752127.78360541,427554.2690522922
2023-06-24 00:00:00 UTC,1938.5752757555495,52680318.10808486,155389.38265944363
2023-06-25 00:00:00 UTC,1922.4784443825965,52608665.265176766,328502.1392167958
2023-06-26 00:00:00 UTC,1946.1835172008143,53420508.90879959,84565.72658444608
2023-06-27 00:00:00 UTC,1904.8246964930036,52345507.56290589,229882.67278762642
2023-06-28 00:00:00 UTC,1933.0316926273842,53482126.716006674,254147.92088861996
2023-06-29 00:00:00 UTC,1873.2199969440078,53277927.46496349,1088119.74684823
