snapped_at,price,market_cap,total_volume
2020-12-17 00:00:00 UTC,598.0143337465039,0.0,80274.6875557865
2020-12-18 00:00:00 UTC,598.0143337465039,0.0,80274.6875557865
2020-12-19 00:00:00 UTC,635.0390615738985,0.0,76362.7364579522
2020-12-20 00:00:00 UTC,627.9068796927792,0.0,89939.25363418553
2020-12-21 00:00:00 UTC,608.8477803248305,0.0,185286.63237974074
2020-12-22 00:00:00 UTC,619.7439698662251,0.0,1320054.5675540175
2020-12-23 00:00:00 UTC,632.4233136156149,0.0,7421048.815293511
2020-12-24 00:00:00 UTC,566.522814362833,0.0,4345288.0904720295
2020-12-25 00:00:00 UTC,580.8383262317021,0.0,2508860.432325208
2020-12-26 00:00:00 UTC,588.4382643020026,0.0,1973672.5738134105
2020-12-27 00:00:00 UTC,592.8579367444489,0.0,796673.4085471507
2020-12-28 00:00:00 UTC,619.2096251214075,0.0,2448541.34735637
2020-12-29 00:00:00 UTC,620.1669475527419,0.0,1391674.6259075194
2020-12-30 00:00:00 UTC,630.9238506356784,0.0,783266.6657900742
2020-12-31 00:00:00 UTC,628.1153599271437,0.0,650384.3877278108
2021-01-01 00:00:00 UTC,648.4801796801196,0.0,1133777.4294662608
2021-01-02 00:00:00 UTC,676.6702938324346,0.0,1441310.9838830363
2021-01-03 00:00:00 UTC,698.7081446736966,0.0,5122483.402909471
2021-01-04 00:00:00 UTC,834.005442475334,0.0,2367756.7868381827
2021-01-05 00:00:00 UTC,882.0154432049133,0.0,655618.005335149
2021-01-06 00:00:00 UTC,931.5478558900871,28804208.754541118,679414.5833325365
2021-01-07 00:00:00 UTC,1017.153228589336,32340077.36739966,767528.7601917383
2021-01-08 00:00:00 UTC,1063.0570925382972,34281589.237208426,398425.7022328972
2021-01-09 00:00:00 UTC,1046.6955152177163,33245853.96999747,494885.3215985252
2021-01-10 00:00:00 UTC,1095.0852692696042,35204109.6474111,439747.5401669232
2021-01-11 00:00:00 UTC,1043.955808576838,33585446.70328809,296127.96995064826
2021-01-12 00:00:00 UTC,918.9210106757815,29312447.511473894,190604.49223612068
2021-01-13 00:00:00 UTC,889.5650509039713,28480051.62202626,335106.88339324907
2021-01-14 00:00:00 UTC,960.4907326241187,30873218.81993022,120123.17766099476
2021-01-15 00:00:00 UTC,1036.4198291795592,33293691.966568645,133764.84224345948
2021-01-16 00:00:00 UTC,995.6976879370945,32228968.28400892,245949.73951870145
2021-01-17 00:00:00 UTC,1089.7215538096616,34088034.18012598,350443.562829226
2021-01-18 00:00:00 UTC,1086.9696266995995,35782014.49817677,318004.95589739253
2021-01-19 00:00:00 UTC,1116.1436526702341,36308235.028044604,487761.6706342202
2021-01-20 00:00:00 UTC,1241.8140260421815,40790680.48413671,302483.40496886027
2021-01-21 00:00:00 UTC,1167.1866745239556,37450652.6102968,612612.4403060845
2021-01-22 00:00:00 UTC,935.9759394781431,31421346.008952152,299211.61214198044
2021-01-23 00:00:00 UTC,1038.9196966910717,34381871.798025176,313742.467156743
2021-01-24 00:00:00 UTC,1064.2898348754402,34747277.8368786,125391.8369846699
2021-01-25 00:00:00 UTC,1264.5882276081752,41164522.69478015,382928.76007977297
2021-01-26 00:00:00 UTC,1201.500788152546,40042099.818713896,645957.4096745466
2021-01-27 00:00:00 UTC,1261.4278672329167,41231310.96915343,245451.32803182644
2021-01-28 00:00:00 UTC,1143.933696731839,37844408.86676829,836097.3768662079
2021-01-29 00:00:00 UTC,1255.6730696795355,41743668.93892292,333488.1381460886
2021-01-30 00:00:00 UTC,1317.3817603110447,43922131.36835967,264190.2594048199
2021-01-31 00:00:00 UTC,1262.978410789279,42145894.338332176,717861.8341908335
2021-02-01 00:00:00 UTC,1241.1135346683127,41316935.26657937,988613.9247220597
2021-02-02 00:00:00 UTC,1312.3939248843014,44003212.43726337,335833.05421271635
2021-02-03 00:00:00 UTC,1466.8152665177502,49184571.29063216,768814.534870344
2021-02-04 00:00:00 UTC,1648.4990269794423,55633353.28144719,273584.33225779905
2021-02-05 00:00:00 UTC,1555.4846468145713,53467164.42747325,371205.4470343978
2021-02-06 00:00:00 UTC,1745.5192000759046,59292700.362997584,1974538.7493457096
2021-02-07 00:00:00 UTC,1660.6525036014032,59713114.43302186,1610282.778636638
2021-02-08 00:00:00 UTC,1614.141554997441,57407973.74697078,1076748.118827167
2021-02-09 00:00:00 UTC,1659.2081523238992,58858696.924477585,608733.4610682449
2021-02-10 00:00:00 UTC,1694.4935993780896,61237582.624776155,5214073.754541846
2021-02-11 00:00:00 UTC,1719.762366881809,62746933.76212239,11160305.536315095
2021-02-12 00:00:00 UTC,1798.0636383835074,67392526.91911027,5413240.991760871
2021-02-13 00:00:00 UTC,1828.3375592096172,67554277.92098926,1585985.1805580566
2021-02-14 00:00:00 UTC,1699.36776539242,63664324.39297304,1562660.1604308088
2021-02-15 00:00:00 UTC,1816.6838014163905,68020563.55229807,1407326.2789811203
2021-02-16 00:00:00 UTC,1787.5629981742165,67134408.89483528,715589.1173903603
2021-02-17 00:00:00 UTC,1774.2986385753532,66455719.39316336,1126746.5789898995
2021-02-18 00:00:00 UTC,1833.0516729796702,69113976.18394268,1080613.7726163447
2021-02-19 00:00:00 UTC,1970.7906917664388,74331652.1711656,1198051.107817198
2021-02-20 00:00:00 UTC,1948.819603946544,75693827.36701283,857329.9701005424
2021-02-21 00:00:00 UTC,1892.3909293780985,75246977.33205746,712594.1097818991
2021-02-22 00:00:00 UTC,1957.8320475811574,77203931.51751365,747739.4192025409
2021-02-23 00:00:00 UTC,1748.9585150608855,69706566.18748954,904563.5965036826
2021-02-24 00:00:00 UTC,1566.2061353066454,62098322.84276812,296644.5098936385
2021-02-25 00:00:00 UTC,1600.080358732435,63264830.70799975,448073.09825477784
2021-02-26 00:00:00 UTC,1499.8598039696776,60848153.00342976,335996.44515134365
2021-02-27 00:00:00 UTC,1445.4998256657364,57940851.55192406,904334.1039042345
2021-02-28 00:00:00 UTC,1451.5788159371527,58969914.42227344,1047805.0672339229
2021-03-01 00:00:00 UTC,1356.1834664343585,55700960.51875409,844398.778760162
2021-03-02 00:00:00 UTC,1497.7924554787508,61412974.40828329,554291.186597972
2021-03-03 00:00:00 UTC,1446.183925712766,59434391.724502854,685309.1557770654
2021-03-04 00:00:00 UTC,1542.503570593166,64327889.46495689,505411.22603637003
2021-03-05 00:00:00 UTC,1481.3266032672007,61156859.326979786,191109.4819000776
2021-03-06 00:00:00 UTC,1453.8486124836184,60312587.16122138,402570.56213521847
2021-03-07 00:00:00 UTC,1586.6814042346045,65908162.534143135,145940.45812571613
2021-03-08 00:00:00 UTC,1614.0405725649293,67430368.22184591,307127.42338465963
2021-03-09 00:00:00 UTC,1739.1395693772063,72512478.31574833,690638.947059754
2021-03-10 00:00:00 UTC,1811.2563907344131,75743145.33796106,527290.7369095894
2021-03-11 00:00:00 UTC,1746.729049640821,74289107.89545734,324512.8542432214
2021-03-12 00:00:00 UTC,1767.861321308172,75250730.5830425,1258159.049028744
2021-03-13 00:00:00 UTC,1714.3531458224998,72395283.84390624,354124.03281518666
2021-03-14 00:00:00 UTC,1875.4703027382952,79260431.9615706,440161.81844556524
2021-03-15 00:00:00 UTC,1850.7356330458188,77752958.1653875,243742.00413602707
2021-03-16 00:00:00 UTC,1706.3529845071162,72577057.88229834,338488.5827103527
2021-03-17 00:00:00 UTC,1719.066897767605,72838961.31014627,255585.38720891494
2021-03-18 00:00:00 UTC,1771.256649313955,75358784.29513216,401748.61197530356
2021-03-19 00:00:00 UTC,1717.9860853104622,73380147.89350785,174116.42932408972
2021-03-20 00:00:00 UTC,1769.2897749438876,76062183.43304741,1011568.7401876797
2021-03-21 00:00:00 UTC,1760.473667128231,75856871.03579396,443974.00825680856
2021-03-22 00:00:00 UTC,1739.3522875974038,75168142.26704077,257244.84824776894
2021-03-23 00:00:00 UTC,1619.5671006390262,69751952.47081722,201118.4708934592
2021-03-24 00:00:00 UTC,1609.092331809693,69151009.19780338,237142.1729484496
2021-03-25 00:00:00 UTC,1515.9078887242365,64681369.45024979,344779.03518039425
2021-03-26 00:00:00 UTC,1540.5886907971153,66137171.84505287,231122.21322625867
2021-03-27 00:00:00 UTC,1607.3922594815142,68341949.0644874,45300.79313014085
2021-03-28 00:00:00 UTC,1642.0641284988037,70658645.09511825,47948.44716316456
2021-03-29 00:00:00 UTC,1616.9167112336634,69400322.13906355,179551.23193772326
2021-03-30 00:00:00 UTC,1733.2995127905717,74467343.05429967,334363.7852267636
2021-03-31 00:00:00 UTC,1757.3983157244368,75711953.10577336,212898.51107845132
2021-04-01 00:00:00 UTC,1848.177998772026,79466150.74589933,692977.8310826707
2021-04-02 00:00:00 UTC,1873.6741429358883,80289991.94787803,573561.1502502316
