snapped_at,price,market_cap,total_volume
2023-05-02 00:00:00 UTC,1862.8838405488618,0.0,21305.67796071722
2023-05-03 00:00:00 UTC,1862.8838405488618,0.0,21305.67796071722
2023-05-04 00:00:00 UTC,1894.9196213577427,0.0,24632.215416505373
2023-05-05 00:00:00 UTC,1873.3835604316318,0.0,169840.49462392842
2023-05-06 00:00:00 UTC,1983.0646135309712,0.0,295388.2795528578
2023-05-07 00:00:00 UTC,1894.1672009302313,0.0,113353.44457705699
2023-05-08 00:00:00 UTC,1872.6677892035966,0.0,14941.453992820656
2023-05-09 00:00:00 UTC,1846.0456728878173,0.0,563050.6248001009
2023-05-10 00:00:00 UTC,1852.33722535044,0.0,354653.6348268782
2023-05-11 00:00:00 UTC,1843.0060771036333,0.0,476746.83516555047
2023-05-12 00:00:00 UTC,1800.1977395980582,0.0,116882.97127535813
2023-05-13 00:00:00 UTC,1812.858602743133,0.0,2532167.411974838
2023-05-14 00:00:00 UTC,1796.1235969801278,0.0,201311.72690123782
2023-05-15 00:00:00 UTC,1802.0711929272013,0.0,37464.16190172393
2023-05-16 00:00:00 UTC,1823.651830074633,0.0,201710.99290692183
2023-05-17 00:00:00 UTC,1827.9086004268129,0.0,62562.26957694737
2023-05-18 00:00:00 UTC,1821.7681829599535,0.0,217924.67639036902
2023-05-19 00:00:00 UTC,1807.498872513375,128233954.79871692,355583.55756561103
2023-05-20 00:00:00 UTC,1815.7709071761412,128938073.74961405,97028.67659887802
2023-05-21 00:00:00 UTC,1822.7565760079399,129355669.7574204,322757.50453577854
2023-05-22 00:00:00 UTC,1808.744256469605,128460676.51976253,692597.2676321575
2023-05-23 00:00:00 UTC,1823.4378537939526,129340754.06340425,239140.67708105352
2023-05-24 00:00:00 UTC,1857.1174819268858,131720626.8667906,114177.45221173733
2023-05-25 00:00:00 UTC,1803.6034792063292,128047489.89187087,20744.785632214593
2023-05-26 00:00:00 UTC,1809.3496162885729,128624994.8451694,196220.59247040254
2023-05-27 00:00:00 UTC,1833.2526369887214,130039067.53236514,102665.98422797672
2023-05-28 00:00:00 UTC,1833.7576885135861,130116745.11777566,81998.82627652414
2023-05-29 00:00:00 UTC,1916.6303887692238,135944007.42128205,185014.5288383552
2023-05-30 00:00:00 UTC,1891.839152285561,134427447.15906996,263211.1151499186
2023-05-31 00:00:00 UTC,1904.6390636219828,135100277.77240536,351850.0474687131
2023-06-01 00:00:00 UTC,1878.5069227066085,133271722.5796859,176790.48510298986
2023-06-02 00:00:00 UTC,1864.4513913847875,132314744.8431914,80007.81816856332
2023-06-03 00:00:00 UTC,1911.4668394023086,135610192.17232776,45830.91014007245
2023-06-04 00:00:00 UTC,1895.3939958603378,134609830.00208995,86027.09152924054
2023-06-05 00:00:00 UTC,1900.6963749394233,134729820.079326,50562.69176616136
2023-06-06 00:00:00 UTC,1814.8052323223083,129110952.86829355,287498.5835134178
2023-06-07 00:00:00 UTC,1888.2115615238984,133772114.76121286,1035079.5737606467
2023-06-08 00:00:00 UTC,1834.7912086419296,130125812.56379305,1945067.4874271515
2023-06-09 00:00:00 UTC,1846.2342367416825,131116439.95524351,595487.312378091
2023-06-10 00:00:00 UTC,1838.488344837985,130238066.14420708,260036.69404259606
2023-06-11 00:00:00 UTC,1753.278844463067,124388330.55940124,959536.0053188247
2023-06-12 00:00:00 UTC,1755.9429655678975,124271272.55213773,296926.3688480401
2023-06-13 00:00:00 UTC,1745.6052593641923,123828981.39376652,896871.7795794032
2023-06-14 00:00:00 UTC,1739.767494538442,123504403.04571396,646773.4819028073
2023-06-15 00:00:00 UTC,1654.6835885127362,117432623.49771464,99565.92204617767
2023-06-16 00:00:00 UTC,1670.8281090010069,118489702.59736535,206635.6479676193
2023-06-17 00:00:00 UTC,1722.9971865299642,122526308.75436063,115698.70472228205
2023-06-18 00:00:00 UTC,1727.9510160229759,122572885.4856583,69712.42583349069
2023-06-19 00:00:00 UTC,1725.2061126452859,122624777.92855582,81203.41603438377
2023-06-20 00:00:00 UTC,1745.0509614837547,123794406.32308488,206914.72748077856
2023-06-21 00:00:00 UTC,1794.5640602546591,127348755.83575979,192611.5900608598
2023-06-22 00:00:00 UTC,1899.6690722090118,134651223.05788127,305148.3795079064
2023-06-23 00:00:00 UTC,1890.4321484285003,133563269.76348884,376383.4298339105
2023-06-24 00:00:00 UTC,1900.3431433849066,134769161.73407736,47359.13881554836
2023-06-25 00:00:00 UTC,1881.7362467952094,133547945.39717709,350896.03832588973
2023-06-26 00:00:00 UTC,1907.476005975572,135293814.4931661,159568.94641344098
2023-06-27 00:00:00 UTC,1869.9044559235538,132327240.54952338,1242884.7956235656
2023-06-28 00:00:00 UTC,1900.4685168258877,134779402.0995733,207277.14702332282
2023-06-29 00:00:00 UTC,1835.40584808682,130201710.13202877,187265.03497213958
2023-06-30 00:00:00 UTC,1866.3475655644663,132394963.60601209,198182.77974805122
2023-07-01 00:00:00 UTC,1945.50829861397,137947784.89993188,220572.90980649993
2023-07-02 00:00:00 UTC,1937.7057218814598,137261377.44460592,136898.08752433662
2023-07-03 00:00:00 UTC,1946.9911361550883,138095753.2122419,115821.28455190403
2023-07-04 00:00:00 UTC,1961.8297948415425,139252778.6248587,101612.57967341364
2023-07-05 00:00:00 UTC,1954.2668923130711,138670167.2825287,62596.0886477637
